,スクレイピングワード,ミッションインポッシブル,岸辺露伴,父と僕の終わらない歌,かくしごと,BAD BOYS,壊玉,スティッチ,マキシーン,国宝,ドールハウス,ラブ・イン・ザ・ビッグシティ,きさらぎ駅,フロントライン,リライト,青春ゲシュタルト崩壊,君がトクベツ,ノボカイン,28年後…,ルノワール,小林さんちのメイドラゴン,それいけ！アンパンマン,エフワン,でっちあげ,ルパン三世,夏の砂の上,おっパン,ババンババンバンバンパイア,ハルビン,JO1 Bon Voyage,キャンドルスティック,スーパーマン,パウ・パーティー,劇場版「鬼滅の刃」無限城編　第一章　猗窩座再来,遠井さんは青春したい！,木の上の軍隊,事故物件,仮面ライダーガヴ,ファンタスティック４,星つなぎのエリオ,TOKYO MER,ジュラシックワールド,クレヨンしんちゃん,近畿地方のある場所について
,作品名,ミッション:インポッシブル ファイナル・レコニング,岸辺露伴は動かない 懺悔室,父と僕の終わらない歌,か「」く「」し「」ご「」と「,BAD BOYS THE MOVIE,呪術廻戦,リロ＆スティッチ,MaXXXine マキシーン,国宝,ドールハウス,ラブ・イン・ザ・ビッグシティ,きさらぎ駅 Re:,フロントライン,リライト,青春ゲシュタルト崩壊,君がトクベツ,Mrノボカイン,28年後…,ルノワール,小林さんちのメイドラゴン さみしがりやの竜,それいけ！アンパンマン チャポンのヒーロー！,F1(R) エフワン,でっちあげ 殺人教師と呼ばれた男,LUPIN THE IIIRD THE MOVIE 不死身の血族,夏の砂の上,映画 おっさんのパンツがなんだっていいじゃないか！,ババンババンバンバンパイア,ハルビン,JO1 THE MOVIE 「未完成」 Bon Voyage,キャンドルスティック,スーパーマン,パウ・パーティー,劇場版「鬼滅の刃」無限城編　第一章　猗窩座再来,遠井さんは青春したい！,木の上の軍隊,事故物件ゾク 恐い間取り,仮面ライダーガヴ,ファンタスティック4 ファースト・ステップス,星つなぎのエリオ,劇場版TOKYO MER 走る緊急救命室 南海ミッション,ジュラシック・ワールド 復活の大地,映画クレヨンしんちゃん 超華麗！灼熱のカスカベダンサーズ,近畿地方のある場所について
,映画ID,102868,103179,103167,103290,103182,#N/A,102991,102041,101370,103114,103251,103201,103120,#N/A,#N/A,103409,103437,103066,103495,102508,103399,103590,103667,103009,103503,103629,101338,103719,103803,#N/A,103125,#N/A,102014,#N/A,103062,103267,#N/A,97592,99966,102489,103408,103082,103059
2025/5/23,,8173,5096,803,308,55,4,2724,85,2198,333,35,149,247,277,69,383,12,126,92,166,61,30,153,293,10,36,75,38,95,10,299,0,1638,6,190,325,585,57,34,26,108,784,34
2025/5/24,,2870,5000,446,170,38,7,1843,120,2293,236,22,129,219,273,38,286,7,106,111,113,34,35,184,222,13,19,60,41,52,12,321,3,1612,4,138,438,600,32,16,24,108,1858,45
2025/5/25,,2430,4211,335,134,25,6,1569,100,2764,317,24,147,235,280,73,189,16,72,129,106,40,30,277,322,7,29,38,23,35,4,296,0,1738,4,80,414,19853,53,6,37,116,748,39
2025/5/26,,1417,2366,220,173,46,8,1610,61,1984,180,19,106,229,317,89,954,18,46,88,416,43,426,251,375,6,19,69,36,26,8,240,0,1404,3,59,397,984,40,109,38,97,650,62
2025/5/27,,1141,2082,196,171,71,19,1518,49,2418,204,23,92,299,297,70,478,15,70,76,145,69,75,478,262,52,20,42,22,27,7,296,1,1417,3,42,460,645,54,16,36,87,707,50
2025/5/28,,1167,1715,228,183,69,10,1394,54,2614,191,15,98,450,315,169,244,15,50,89,86,84,41,177,215,17,11,60,7,25,22,304,1,1214,2,46,393,580,32,24,34,83,552,48
2025/5/29,,1128,1601,199,528,138,11,1799,86,2222,245,11,106,458,413,156,308,13,56,204,165,261,42,219,247,32,40,58,13,13,16,313,0,1409,9,19,306,579,38,10,43,358,781,82
2025/5/30,,8329,1536,133,896,444,104,3186,53,3032,237,58,108,285,394,43,256,22,87,144,197,81,43,281,333,22,23,60,31,18,12,390,0,1430,117,36,372,530,50,3,121,295,668,108
2025/5/31,,2293,2082,220,699,232,66,3118,108,3126,302,30,123,246,500,93,260,17,100,149,91,49,48,232,331,41,8,57,24,30,7,461,0,1609,16,26,519,674,67,21,50,208,2123,60
2025/6/1,,1879,2463,192,637,245,40,2823,110,3474,472,30,143,216,515,98,223,27,114,182,214,28,115,280,336,45,60,91,58,26,13,442,1,1899,8,36,410,17942,68,11,55,225,675,62
2025/6/2,,1019,1241,113,392,126,32,6712,151,2989,534,37,150,215,351,153,488,11,84,102,348,68,85,159,272,20,31,60,20,21,14,412,1,1531,4,40,292,855,47,44,32,201,558,57
2025/6/3,,773,1131,93,244,73,24,4846,194,2647,338,48,121,307,406,145,333,23,87,246,148,53,100,294,377,18,43,46,34,36,8,393,1,1536,6,25,292,579,33,25,39,166,622,40
2025/6/4,,1051,1079,111,248,81,18,3784,186,2933,291,36,113,288,646,118,242,10,111,197,106,105,89,323,307,22,54,70,34,31,17,370,0,1335,4,23,288,525,66,7,32,171,848,44
2025/6/5,,812,951,96,188,48,25,4702,283,3537,226,259,95,255,530,113,684,11,117,126,200,62,76,330,464,141,56,100,25,17,5,437,0,1170,7,46,291,456,82,8,54,163,730,37
2025/6/6,,881,983,79,286,49,19,36304,1036,9759,337,181,169,512,654,476,885,12,245,117,256,48,167,262,771,54,64,170,39,38,12,422,3,1610,4,51,494,741,48,22,38,110,724,56
2025/6/7,,1020,1215,101,254,60,21,19222,1168,12051,368,58,187,608,445,309,263,15,196,163,352,37,72,206,387,30,41,186,50,29,12,453,2,1649,3,81,1251,596,47,21,48,199,1990,64
2025/6/8,,1058,1151,132,287,72,18,10624,844,12668,840,58,269,499,442,237,225,23,182,144,222,34,52,237,380,34,53,199,33,28,4,697,3,1774,5,49,532,19132,55,21,44,227,708,62
2025/6/9,,1481,717,84,188,57,22,9564,506,10310,562,56,258,454,444,360,548,18,148,123,337,38,39,262,284,22,28,150,24,19,13,464,3,1825,6,50,437,888,47,20,37,169,590,141
2025/6/10,,488,613,47,132,40,8,6122,424,8790,659,86,359,426,523,466,655,13,170,306,147,54,49,270,222,25,36,195,105,212,7,462,0,1629,8,44,455,1308,28,16,29,691,764,721
2025/6/11,,519,677,54,161,243,7,5394,384,12721,653,92,330,470,572,574,747,15,146,140,210,168,107,479,292,95,33,164,57,76,62,500,0,1603,5,77,448,1302,49,194,47,445,754,155
2025/6/12,,2171,623,64,147,31,11,5517,385,9441,936,138,431,603,936,898,965,18,112,154,453,186,71,452,303,76,45,293,46,40,26,811,0,1430,9,102,588,652,41,595,34,796,1763,102
2025/6/13,,756,582,63,129,116,4,6518,292,9266,4102,332,1667,2176,1706,1585,499,39,154,165,323,83,76,385,510,48,50,222,54,699,37,947,5,1760,25,321,1327,4039,36,1104,39,233,696,147
2025/6/14,,792,863,79,220,212,14,5885,297,13062,4963,397,2165,2450,1504,959,502,25,199,163,228,76,74,346,368,49,44,228,78,55,13,526,2,2524,9,282,484,781,40,937,45,230,2127,110
2025/6/15,,709,766,71,265,101,14,6731,258,13702,4633,356,1456,2128,1415,822,329,27,206,174,210,40,56,655,754,20,197,221,94,28,8,584,1,1968,9,133,537,19423,32,544,46,299,939,116
2025/6/16,,1072,506,374,107,337,13,6166,206,10370,3363,271,1135,1557,898,1129,681,58,230,144,377,86,687,1025,505,31,38,248,47,188,30,443,1,1873,10,85,714,1303,58,397,32,172,722,103
2025/6/17,,1334,476,32,880,91,11,9604,202,10920,2441,181,639,1943,1074,1500,1799,78,285,201,222,61,93,977,463,224,79,970,39,37,18,850,1,1891,11,101,736,1011,38,309,29,391,944,194
2025/6/18,,429,469,70,547,33,19,4316,150,11269,2634,228,618,1317,1019,10163,1077,82,439,233,233,115,110,685,504,181,55,490,58,2954,14,500,0,1813,22,96,997,794,159,284,31,1338,1135,183
2025/6/19,,403,528,28,1183,42,10,2981,158,9047,2145,186,566,1073,960,2464,1275,104,1024,263,286,44,176,1093,617,52,57,202,51,721,187,508,0,2172,26,96,740,14816,87,361,38,1130,950,253
2025/6/20,,7409,649,167,98,135,10,6055,152,9972,1942,166,539,981,892,1082,5380,425,2589,597,307,107,295,642,918,66,61,233,117,602,77,672,3,2033,9,103,866,13861,58,378,61,733,766,307
