年,作品名,映画ID,公開週,週末興収,累計興収,週間興収,マッチスコア
1953,映画 ドキドキ!プリキュア マナ結婚!!?未来につなぐ希望のドレス,48442,第1週,2.13億,2.13億,2.13億,100
1953,映画 ドキドキ!プリキュア マナ結婚!!?未来につなぐ希望のドレス,48442,第2週,1.49億,4.46億,2.32億,100
1953,映画 ドキドキ!プリキュア マナ結婚!!?未来につなぐ希望のドレス,48442,第3週,0.98億,6.62億,2.16億,100
1953,映画 ドキドキ!プリキュア マナ結婚!!?未来につなぐ希望のドレス,48442,第4週,0.73億,7.78億,1.16億,100
1953,映画 ドキドキ!プリキュア マナ結婚!!?未来につなぐ希望のドレス,48442,第5週,0.56億,8.63億,0.86億,100
1953,映画 ドキドキ!プリキュア マナ結婚!!?未来につなぐ希望のドレス,48442,第6週,0.35億,8.93億,0.30億,100
1953,映画 ドキドキ!プリキュア マナ結婚!!?未来につなぐ希望のドレス,48442,第7週,0.14億,9.49億,0.56億,100
1979,KIDS,104085,第1週,0.71億,0.71億,0.71億,100
1979,KIDS,104085,第2週,0.41億,1.81億,1.10億,100
1988,映画 ぐらんぶる,56596,第1週,0.76億,1.11億,1.11億,100
1988,映画 ぐらんぶる,56596,第2週,0.44億,2.88億,1.77億,100
1988,映画 ぐらんぶる,56596,第3週,0.26億,3.69億,0.81億,100
1988,映画 ぐらんぶる,56596,第4週,0.16億,4.14億,0.45億,100
1992,許されざる者,30882,第1週,1.44億,1.90億,1.90億,100
1992,許されざる者,30882,第2週,0.65億,4.35億,2.46億,100
1992,許されざる者,30882,第3週,0.29億,5.62億,1.27億,100
1992,許されざる者,30882,第4週,0.18億,6.25億,0.63億,100
1992,許されざる者,30882,第5週,,6.66億,0.41億,100
1997,ロスト・チルドレン,51009,第1週,3.26億,4.04億,4.04億,67
1997,ロスト・チルドレン,51009,第2週,3.46億,11.1億,7.10億,67
1997,ロスト・チルドレン,51009,第3週,3.20億,18.2億,7.03億,67
1997,ロスト・チルドレン,51009,第4週,3.20億,23.0億,4.80億,67
1997,ロスト・チルドレン,51009,第5週,2.09億,28.9億,5.97億,67
1997,ロスト・チルドレン,51009,第6週,1.77億,33.2億,4.25億,67
1997,ロスト・チルドレン,51009,第7週,1.34億,36.6億,3.42億,67
